"","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",3.09,3.415,6.799,7.566,2.579,5.736,-3.687,0.823,-3.103,3.509,-3.687
"2",6.221,9.01,7.51,6.663,-2.808,3.376,-6.231,0.726,-2.562,3.728,-6.231
"3",9.51,5.397,4.457,7.711,-6.165,3.317,-4.599,4.892,-1.809,1.129,-6.165
"4",7.096,-2.581,1.31,6.401,-7.866,1.593,-1.574,6.321,-1.78,-0.622,-7.866
"5",5.86,-2.956,-0.316,6.644,-8.691,1.003,-4.825,6.19,-5.073,-0.343,-8.691
"6",5.135,-2.419,0.873,6.483,-8.661,2.124,-7.656,0.358,-2.614,-5.064,-8.661
"7",6.69,-1.444,2.01,2.336,-4.835,6.295,-6.525,0.435,4.715,-3.257,-6.525
"8",7.651,-2.044,6.068,-1.485,-4.788,4.819,-3.839,6.498,-2.951,-2.166,-4.788
"9",9.313,-2.009,1.914,3.596,-3.368,6.36,-0.319,6.559,-1.382,0.87,-3.368
"10",3.463,-5.566,-0.997,0.468,3.945,7.047,1.171,6.358,2.387,-0.753,-5.566
"11",-3.14,-6.226,-0.908,1.309,3.556,6.266,1.831,1.729,-2.433,-0.375,-6.226
"12",-3.389,-7.14,-1.275,2.21,3.04,7.592,-3.299,-2.012,-3.604,-1.149,-7.14
"13",-1.861,-5.958,0.117,2.359,5.868,6.735,-2.323,1.239,4.96,0.395,-5.958
"14",-1.819,-2.782,-2.541,2.829,7.571,7.836,-4.796,0.301,-0.589,-1.449,-4.796
"15",-3.645,1.176,3.26,3.686,9.062,2.391,-4.345,0.215,-1.328,-1.276,-4.345
"16",-1.942,-0.079,4.841,-0.794,6.895,5.448,-1.54,4.093,-2.189,-1.012,-2.189
"17",-5.46,-0.026,-0.468,2.954,6.937,1.39,-3.419,-0.977,2.268,0.763,-5.46
"18",-3.564,-0.35,4.014,1.325,5.71,3.493,-3.884,3.801,-1.798,-0.91,-3.884
"19",3.6,1.05,2.158,2.342,0.588,1.698,-5.101,3.618,-2.722,0.129,-5.101
"20",0.215,3.313,5.485,5.55,1.805,1.821,-0.782,7.199,-4.656,1.494,-4.656
"21",2.332,-1.392,5.996,5.682,5.597,6.971,3.559,4.722,-1.509,4.319,-1.509
"22",1.514,-1.324,3.706,4.592,7.993,6.654,4.939,8.363,-3.072,0.358,-3.072
"23",-0.241,-2.181,4.137,5.916,7.717,4.622,5.063,4.906,-2.562,-0.5,-2.562
"24",-1.863,-2.992,7.476,6.075,3.096,5.374,6.939,1.245,-2.377,5.596,-2.992
"25",-1.317,-3.761,3.301,7.092,-1.376,2.405,6.464,0.066,-3.669,-1.665,-3.761
"26",0.645,-4.03,1.887,7.126,-2.407,4.258,2.853,-1.487,-2.363,0.453,-4.03
"27",3.994,-1.917,0.508,3.864,-0.569,0.335,-4.118,-0.535,-2.641,1.239,-4.118
"28",8.407,4.047,1.977,8.607,6.278,1.033,-4.538,-3.55,-3.009,3.354,-4.538
"29",-0.124,-2.443,6.684,5.001,7.262,4.082,1.512,0.238,-1.861,3.159,-2.443
"30",-3.827,2.206,9.488,9.064,8.148,0.72,1.427,1.162,-1.364,7.458,-3.827
"31",-5.783,-2.084,11,7.426,6.14,-0.815,3.084,-1.912,-3.062,8.856,-5.783
"32",-4.6,-3.234,9.223,6.044,0.629,1.195,2.117,-2.169,-2.789,4.255,-4.6
"33",-0.999,-1.201,8.531,5.188,0.279,7.717,3.801,-0.93,-2.817,7.682,-2.817
"34",-3.949,0.015,2.862,3.882,3.541,6.324,4.476,-0.746,0.776,4.944,-3.949
"35",-2.009,-0.738,0.215,4.952,0.698,1.374,5.353,2.367,-1.189,7.345,-2.009
"36",2.607,-1.052,-0.245,2.639,2.505,4.308,5.042,-0.658,5.186,4.271,-1.052
"37",4.83,-1.891,3.24,0.746,2.424,3.399,4.29,-2.592,2.273,4.324,-2.592
"38",5.798,-2.072,7.235,3.634,-2.743,4.754,2.308,-0.123,-0.623,-1.232,-2.743
"39",6.777,-3.261,-2.845,3.219,-2.642,5.496,-3.663,-2.197,-0.588,2.82,-3.663
"40",7.211,-2.251,2.455,4.058,2.918,9.049,-4.81,-3.691,-0.926,7.385,-4.81
"41",4.295,-2.15,3.644,3.149,-0.402,2.584,4.806,-3.83,-0.438,7.02,-3.83
"42",-0.503,0.355,-0.664,5.986,-3.369,-1.16,0.416,-0.295,2.328,10.699,-3.369
"43",-1.583,2.757,-2.677,6.077,0.046,0.132,1.488,0.406,-0.846,8.271,-2.677
